uid,radius_of_gyration
448,3.0196729967737848
449,4.582881808841144
450,7.58596267661368
451,4.731513288436181
452,4.565622872214042
453,2.1212111808705214
454,4.283284392057083
455,9.488858506712024
456,3.691772845379286
457,2.161930782393751
458,6.276166443629924
459,3.3210793592727508
460,4.043578879056147
461,7.053391964503858
462,2.466945146939539
463,5.621225058216266
464,3.803241175137382
465,3.2050390686291084
466,3.1848296646583094
467,6.632311094497953
468,8.277769035771026
469,4.293404288044955
470,5.642784717404193
471,3.211731948173726
472,10.93071435152646
473,8.517105440868084
474,7.53399434600537
475,2.823056898383274
476,4.866043456180628
477,2.0796788136309075
478,8.513497630222137
479,2.601418837345725
480,10.302676893686641
481,6.335643373611141
482,10.254381367300859
483,6.166069041709476
484,4.688298647895759
485,2.7707394917336785
486,4.234471204598463
487,2.087944343674186
488,7.591967879965886
489,4.8919835499731565
490,11.696423863662632
491,4.96445245996387
492,10.307572989453222
493,7.90842908215523
494,7.2742532658580075
495,3.2004521474974896
496,6.337963999562534
497,6.471993668745497
498,7.683649674658286
499,3.6007949974207856
500,4.749429298538021
501,2.334478645276585
502,5.059766722213219
503,4.328021538523837
504,5.4271251615158205
505,7.66656856768641
506,2.922965769769369
507,5.426592552009436
508,8.991189545652604
509,4.531643090286107
510,5.183383856472621
511,4.12363264888549
512,7.104774907446518
513,5.040434595562999
514,5.238298225080124
515,4.393827404427549
516,3.6320706009092714
517,6.488265586159764
518,3.946930822187794
519,3.59212116579494
520,8.611376365800838
521,7.821860238764621
522,8.882608972018103
523,2.8709112140165156
524,4.549055058686879
525,3.014626083603787
526,4.1401493078484535
527,4.519327973518145
528,3.7341687714597915
529,10.962349170775664
530,3.9787938605103865
531,4.275128984174307
532,3.767081541449948
533,5.730021983670478
534,4.423634703488383
535,8.048814910307426
536,5.073634105440987
537,3.26615190754564
538,6.333554827150698
539,2.152577844227167
540,4.32963280956177
541,3.23337497469904
542,0.7704419867764458
543,4.202306213967774
544,1.9538157310597513
545,4.547843369324946
546,7.087131389982826
547,2.9881828796820677
548,3.1405151735058165
549,7.683254005430921
550,3.275034326086857
551,6.18911327291226
552,7.885113675818955
553,6.052604893773686
554,10.321884242729183
555,7.085852949681291
556,7.484294988362427
557,3.666427072655026
558,5.105109771212127
559,6.39002372413168
560,9.323743513970916
561,2.915546711021437
562,9.793682509254662
563,2.6872784094679814
564,3.13838524101121
565,3.6115609577988073
566,2.762898963943411
567,6.84962846353427
568,5.951827322123615
569,5.18422980823085
570,3.719202567604099
571,3.863516696243293
572,3.9790772482623837
573,0.35586372988107334
574,3.109203478303901
575,5.433582295401694
576,6.014312474238288
577,2.9801718419430383
578,7.890704706836734
579,8.67797550340264
580,6.065455578349918
581,7.236585074292221
582,8.080662842362674
583,5.931498180791939
584,2.9471920700444585
585,1.6392512622108335
586,2.8636380675848443
587,5.207386582481497
588,3.461925432360365
589,4.690153044109604
590,6.157793683527467
591,4.112579380972634
592,4.2812470372505125
593,7.2682904990582236
594,2.7446526517333725
595,5.287570990642837
596,8.487191930049475
597,3.4530766475982015
598,3.820621427843259
599,3.862420317962426
600,6.931187941923926
601,3.9315721861290904
602,5.897368277043429
603,7.654835489627039
604,7.392871560852408
605,0.5575550626310526
606,4.69664995809846
607,7.465865093531281
608,4.59355991669088
609,8.673737951645377
610,4.572676063050388
611,2.1382662807453805
612,6.294879430217094
613,2.631677615654122
614,3.9196971278321224
615,2.6133045094363347
616,8.977803081010414
617,6.266823452220697
618,6.390929118099242
619,11.51809975710811
620,6.5952933124669775
621,8.229366843274153
622,10.59001203417848
623,4.319865197829042
624,6.490901851798508
625,7.1537738528384525
626,9.193797859819554
627,6.573779147397507
628,2.7632983975228
629,11.28108505455604
630,6.0070287307226735
631,4.82512374156052
632,4.219427503755758
633,4.186171839892318
634,9.180458815701298
635,5.803816747859204
636,8.236462016362912
637,4.516785283762209
638,8.002935792817638
639,3.809541420739201
640,2.906415260561475
641,12.019813630171132
642,5.982634464172711
643,3.282562387164789
644,10.058925544884323
645,3.975457584871418
646,3.053330380814535
647,3.651943491069633
648,8.206406596819708
649,4.332699143790993
650,8.129255372437278
651,7.681368044733947
652,7.538841009574898
653,7.916241851315843
654,3.2208215325060836
655,7.884256175738731
656,7.758903037447237
657,3.64846510682607
658,6.857669840649472
659,4.412522379172135
660,3.418095914612937
661,4.1473590351426814
662,5.004721495306643
663,2.688929196053258
664,6.474389437651592
665,7.110735674644555
666,4.317454754992865
667,7.987167991327511
668,6.470031479453478
669,5.923323829507597
670,3.426909342190687
671,6.997028389997211
672,7.6015843822360205
673,4.666664567075944
674,3.012537088839769
675,2.5772318127922227
676,2.0356414428972407
677,8.631624088887756
678,4.939120899185233
679,6.1654058536699905
680,3.083535707505067
681,6.234984807463666
682,4.215121176239609
683,4.782839979703825
684,8.514167807960414
685,2.5172196910434406
686,2.481392558294794
687,4.509213531285866
688,3.960000439397943
689,7.392014666771905
690,1.9985789211859772
691,9.394497853714126
692,3.888163052108561
693,1.8974722260433547
694,3.11000598477289
695,4.905964879714575
696,9.358211173976411
697,4.388523149723203
698,9.292418864052383
699,8.896060070563044
700,3.2023267467216563
701,5.808528490438687
702,10.299939497005994
703,4.1152668219457
704,7.8436357324918715
705,7.074288222919369
706,8.8396999711972
